100BlockAddress
32XX BLOCK OF 23RD AVE W
63XX BLOCK OF 5TH AVE NE
26TH AVE NE / NE BLAKELEY ST
22XX BLOCK OF W RAYE ST
25XX BLOCK OF 14TH AVE S
NW 46TH ST / 8TH AVE NW
14XX BLOCK OF 2ND AVE
27XX BLOCK OF CALIFORNIA AVE SW
71XX BLOCK OF GREENWOOD AVE N
26XX BLOCK OF SW BARTON ST
RAVENNA AVE NE / NE 95TH ST
15TH AVE NE / NE 95TH ST
15XX BLOCK OF 12TH AVE
15XX BLOCK OF BROADWAY
45XX BLOCK OF 7TH AVE NE
19XX BLOCK OF 13TH AVE S
47XX BLOCK OF E MARGINAL WAY S
1XX BLOCK OF BROADWAY E
E SPRING ST / 12TH AVE
67XX BLOCK OF CORSON AVE S
45XX BLOCK OF UNIVERSITY WAY NE
5XX BLOCK OF 4TH AVE W
S SPOKANE ST / 2ND AVE S
100XX BLOCK OF COLLEGE WAY N
4XX BLOCK OF 3RD AVE
1XX BLOCK OF DENNY WAY
13XX BLOCK OF 4TH AVE W
11XX BLOCK OF 18TH AVE
116XX BLOCK OF AURORA AVE N
13XX BLOCK OF S PEARL ST
21XX BLOCK OF S WAITE ST
5XX BLOCK OF 18TH AVE
50XX BLOCK OF FAUNTLEROY WAY SW
27XX BLOCK OF 3RD AVE S
COLUMBIA ST / 5TH AVE
42XX BLOCK OF WHITMAN AVE N
4XX BLOCK OF PIKE ST
35XX BLOCK OF SW 97TH ST
23XX BLOCK OF 41ST AVE SW
7XX BLOCK OF 1ST AVE
7TH AVE N / DENNY WAY
9XX BLOCK OF E YESLER WAY
43XX BLOCK OF WHITMAN AVE N
71XX BLOCK OF 62ND AVE NE
11XX BLOCK OF NW LEARY WAY
12XX BLOCK OF E HOWELL ST
57XX BLOCK OF MARTIN LUTHER KING JR WAY S
14XX BLOCK OF 5TH AVE
3XX BLOCK OF 10TH AVE
132XX BLOCK OF AURORA AVE N
34XX BLOCK OF 24TH AVE W
4XX BLOCK OF NE NORTHGATE WAY
6XX BLOCK OF S KING ST
8XX BLOCK OF S WELLER ST
71XX BLOCK OF WOODLAWN AVE NE
10XX BLOCK OF NE 104TH ST
54XX BLOCK OF 31ST AVE SW
11XX BLOCK OF NW 50TH ST
17XX BLOCK OF BELMONT AVE
21XX BLOCK OF 26TH AVE S
8XX BLOCK OF SENECA ST
87XX BLOCK OF 16TH AVE SW
56XX BLOCK OF MARTIN LUTHER KING JR WAY S
67XX BLOCK OF 35TH AVE SW
105XX BLOCK OF GREENWOOD AVE N
2XX BLOCK OF OCCIDENTAL AVE S
1XX BLOCK OF CEDAR ST
90XX BLOCK OF 25TH AVE SW
6TH AVE S / S MICHIGAN ST
37XX BLOCK OF S BURNS ST
2XX BLOCK OF S KING ST
7TH AVE W / W HOWE ST
4XX BLOCK OF W MERCER ST
47XX BLOCK OF 9TH AVE NW
10XX BLOCK OF NE 64TH ST
17XX BLOCK OF 22ND AVE
28XX BLOCK OF WESTERN AVE
98XX BLOCK OF 55TH AVE S
25XX BLOCK OF 32ND AVE W
24XX BLOCK OF BIRCH AVE N
73XX BLOCK OF DELRIDGE WAY SW
20XX BLOCK OF WESTLAKE AVE
E PIKE ST / MELROSE AVE
1XX BLOCK OF 12TH AVE
E THOMAS ST / BROADWAY E
8XX BLOCK OF YALE AVE N
6XX BLOCK OF MAYNARD AVE S
37XX BLOCK OF SW FINDLAY ST
10XX BLOCK OF MERCER ST
37XX BLOCK OF 42ND AVE S
5XX BLOCK OF PIKE ST
5XX BLOCK OF 3RD AVE
36XX BLOCK OF SW LANDER ST
N CANAL ST / PHINNEY AVE N
16XX BLOCK OF S JACKSON ST
15XX BLOCK OF PIKE PL
8XX BLOCK OF OCCIDENTAL AVE S
11XX BLOCK OF E MADISON ST
24XX BLOCK OF 34TH AVE W
38XX BLOCK OF 35TH AVE SW
102XX BLOCK OF 8TH AVE NE
28XX BLOCK OF EASTLAKE AVE E
34XX BLOCK OF FREMONT AVE N
24XX BLOCK OF NW MARKET ST
13XX BLOCK OF 12TH AVE S
9XX BLOCK OF 6TH AVE N
4XX BLOCK OF LAKESIDE AVE S
13XX BLOCK OF UNIVERSITY ST
6XX BLOCK OF 3RD AVE N
1ST AVE / PIKE ST
12TH AVE NE / NE 43RD ST
38XX BLOCK OF 47TH AVE SW
2XX BLOCK OF PIKE ST
96XX BLOCK OF STONE AVE N
74XX BLOCK OF 25TH AVE NE
13XX BLOCK OF NE 43RD ST
45XX BLOCK OF 9TH AVE NE
GREENWOOD AVE N / N 130TH ST
52XX BLOCK OF BALLARD AVE NW
3XX BLOCK OF PINE ST
29XX BLOCK OF 1ST AVE
34XX BLOCK OF NE 57TH ST
41XX BLOCK OF 36TH AVE SW
43XX BLOCK OF SW GENESEE ST
4TH AVE / WALL ST
40XX BLOCK OF 36TH AVE SW
16XX BLOCK OF 25TH AVE
ROOSEVELT WAY NE / NE 45TH ST
E PINE ST / BOYLSTON AVE
STEWART ST / TERRY AVE
25XX BLOCK OF 1ST AVE N
59XX BLOCK OF 1ST AVE S
77XX BLOCK OF 2ND AVE NE
42XX BLOCK OF WINSLOW PL N
3XX BLOCK OF N 130TH ST
34XX BLOCK OF 36TH AVE SW
15XX BLOCK OF 39TH AVE E
6XX BLOCK OF NW 47TH ST
5XX BLOCK OF W ROY ST
BROOKLYN AVE NE / NE 42ND ST
18XX BLOCK OF TERRY AVE
40XX BLOCK OF PHINNEY AVE N
11XX BLOCK OF 20TH AVE S
70XX BLOCK OF 16TH AVE SW
RAINIER AVE S / S WALDEN ST
16XX BLOCK OF S WELLER ST
98XX BLOCK OF ARROWSMITH AVE S
20XX BLOCK OF NW MARKET ST
SW HUDSON ST / CALIFORNIA AVE SW
16XX BLOCK OF E LYNN ST
117XX BLOCK OF 15TH AVE NE
S MASSACHUSETTS ST / 13TH AVE S
