HostId,HostName,HostSince,HostResponseRate,HostIsSuperhost,HostNeighborhood,HostListingCount
2536,Megan,2008-08-26,89%,t,Minor,2
30559,Angielena,2009-08-09,100%,t,Georgetown,8
31481,Cassie,2009-08-13,100%,t,The Junction,2
14942,Joyce,2009-04-26,90%,f,Wallingford,5
33360,Laura,2009-08-23,100%,t,The Junction,8
39377,Bob,2009-09-18,100%,f,Green Lake,3
74305,Seattle Oasis,2010-01-27,100%,t,Belltown,51
79450,Brad / Liz,2010-02-09,100%,t,Ballard,2
102684,Amanda,2010-04-02,100%,t,Ballard,1
110248,Jamilah,2010-04-18,100%,t,Capitol Hill,4
107605,Al,2010-04-12,100%,f,Ballard,1
160789,Darrell,2010-07-08,100%,f,Ballard,2
180441,Pina,2010-07-25,N/A,f,North Beacon Hill,1
189356,Michael,2010-08-02,100%,t,Wallingford,1
212404,Piper + Kent,2010-08-25,100%,t,Windermere,2
311363,Irmgard,2010-12-06,100%,f,Ballard,1
331573,Jean,2010-12-31,N/A,t,Columbia City,1
340192,Angela,2011-01-08,100%,f,Capitol Hill,3
412854,Goldie,2011-02-27,N/A,f,Broadway,1
436213,Kim,2011-03-11,100%,f,North Admiral,0
460561,Elizabeth,2011-03-24,N/A,t,Stevens,0
192355,Jane,2010-08-05,100%,t,North Admiral,2
331494,Anne,2010-12-31,100%,t,North Admiral,1
587302,Danni,2011-05-14,100%,t,Fremont,1
559827,Judith,2011-05-05,100%,t,Alki,2
601600,Hal,2011-05-18,100%,t,Fremont,2
378445,Ralph,2011-02-05,100%,f,Wallingford,1
558743,Natalie,2011-05-05,100%,f,Green Lake,2
539515,Shari,2011-04-27,N/A,f,Seward Park,2
672972,Sara,2011-06-07,100%,t,Leschi,1
683617,Jana,2011-06-09,N/A,f,Harrison/Denny-Blaine,1
594315,Jana,2011-05-16,N/A,f,North Beacon Hill,1
696788,Julie,2011-06-13,N/A,t,Minor,1
306615,Tara,2010-12-01,100%,t,Portage Bay,4
804996,Nadine,2011-07-11,100%,t,Lower Queen Anne,1
601266,Tim And Pam,2011-05-18,N/A,f,Phinney Ridge,1
990195,Kerry,2011-08-18,N/A,f,Bryant,1
2438665,Flor,2012-05-22,100%,t,Crown Hill,4
971336,Julie,2011-08-15,100%,t,Columbia City,1
8243075,Lori,2013-08-18,91%,t,Belltown,4
468703,Corinne & Tom,2011-03-28,N/A,t,Ballard,2
1037115,Rose And Glen,2011-08-30,100%,t,Fremont,11
990692,Paul,2011-08-18,N/A,t,Mathews Beach,1
1215564,Danielle,2011-09-27,0%,f,North Admiral,2
956883,Maija,2011-08-11,100%,t,Queen Anne,3
512084,Edwin,2011-04-15,100%,f,North Admiral,1
1336214,Kim,2011-10-26,N/A,t,Phinney Ridge,1
1387754,Dot & Lucy,2011-11-09,100%,t,Ballard,2
1309213,Audrey&Benoit,2011-10-18,N/A,f,North Beach/Blue Ridge,1
1452570,Emily,2011-11-29,100%,f,Queen Anne,3
31509,David,2009-08-13,N/A,t,Capitol Hill,6
781716,Andra,2011-07-05,100%,t,Fremont,1
721070,Suzanne,2011-06-20,100%,t,First Hill,3
1545026,Anna,2011-12-28,N/A,f,Stevens,2
1204187,Kara,2011-09-24,100%,t,Eastlake,3
1577903,Jen,2012-01-07,N/A,f,Atlantic,1
1717589,Judy,2012-02-07,100%,f,Capitol Hill,3
1015653,David,2011-08-24,100%,f,Wallingford,1
1787819,Bryce,2012-02-21,100%,f,First Hill,8
1788284,Eric,2012-02-21,100%,f,North Admiral,1
791459,Western Vacation,2011-07-07,100%,f,Arbor Heights,1
1025723,Dirk & Jaq,2011-08-27,100%,t,International District,3
4186078,Trung,2012-11-18,100%,f,Green Lake,1
1865986,Sheldon,2012-03-05,100%,t,Greenwood,2
287962,Ian,2010-11-15,N/A,f,Fremont,1
1121532,Melissa,2011-09-07,92%,f,Capitol Hill,7
3313235,Leslie,2012-08-20,N/A,t,North Beacon Hill,1
437055,Jyoti And Tushar,2011-03-12,100%,t,North Beacon Hill,1
2057654,Michele & Ryan,2012-04-02,50%,t,Madrona,2
165390,SeattleStays - Seth Gordon,2010-07-13,100%,t,Fremont,8
450548,Vaibhav,2011-03-19,100%,t,Capitol Hill,2
2222321,Deb,2012-04-25,100%,f,Wedgewood,4
1870781,Diana,2012-03-06,100%,t,Ballard,1
2294267,Donna,2012-05-04,100%,f,Crown Hill,1
1210993,Audrey,2011-09-26,N/A,f,Ballard,1
2342082,Marilyn,2012-05-10,N/A,f,Cedar Park,1
1495392,Lindsey,2011-12-11,N/A,t,Stevens,2
3921530,Ann Petrich,2012-10-19,100%,t,Fremont,3
2403410,Alan,2012-05-18,N/A,f,Pike Place Market,1
2431399,Jay,2012-05-21,100%,t,Columbia City,1
2370749,Tom,2012-05-14,N/A,f,Riverview,1
2612779,Serina,2012-06-12,N/A,f,Lower Queen Anne,1
2739131,Chad & Ruben,2012-06-25,100%,t,Capitol Hill,2
2774354,Kristin,2012-06-28,100%,t,Mount Baker,2
2781551,Ron,2012-06-29,100%,f,Minor,3
2613029,Jeffrey,2012-06-12,N/A,f,The Junction,1
103427,Magalie,2010-04-04,85%,f,Central Business District,135
3018655,Louise,2012-07-22,N/A,f,Greenwood,2
3022709,Laura,2012-07-22,100%,f,Columbia City,0
3023407,Nan,2012-07-23,N/A,t,Fremont,1
3032548,Joanna,2012-07-23,100%,t,Wallingford,1
3040367,Mardee,2012-07-24,N/A,t,Fauntleroy,1
3074414,Melissa,2012-07-27,89%,f,Bryant,50
3139639,Alicia,2012-08-02,N/A,f,Belltown,1
3169976,Valerie,2012-08-06,N/A,f,Bryant,1
3181546,Farhad,2012-08-07,25%,f,Fremont,3
3187723,Ann,2012-08-07,100%,f,Madrona,1
3294357,Rachel & Grace,2012-08-17,100%,f,First Hill,3
3319649,Nicci,2012-08-20,N/A,t,Minor,5
3340441,Roberta,2012-08-22,67%,f,Harrison/Denny-Blaine,2
3396093,Elisa,2012-08-28,N/A,f,Greenwood,2
3401993,Beth,2012-08-28,N/A,f,Mount Baker,3
926885,Jamie & Kyle,2011-08-05,100%,t,South Delridge,1
103825,Patricia,2010-04-05,N/A,t,Atlantic,1
3520873,Philippe,2012-09-09,N/A,f,Broadview,1
3550436,Kerri,2012-09-12,N/A,f,,1
3587674,Patti And Benson,2012-09-16,N/A,t,Ballard,1
1611114,Craig,2012-01-15,100%,t,Wallingford,1
3620313,Catherine,2012-09-19,100%,t,Queen Anne,1
2070664,Gillian,2012-04-04,100%,t,Eastlake,1
316200,William,2010-12-11,100%,t,Eastlake,6
3740695,BleuPapillon,2012-10-02,N/A,f,Harrison/Denny-Blaine,2
3737272,Cheryl & Steve,2012-10-02,100%,t,Maple Leaf,1
2535710,Matt,2012-06-03,100%,t,Columbia City,1
3932149,Amy,2012-10-20,N/A,f,Phinney Ridge,1
3976886,Barbara,2012-10-25,N/A,f,Mount Baker,1
3991908,Becky,2012-10-27,100%,t,Queen Anne,3
2111774,Carl,2012-04-10,100%,f,Genesee,1
4136969,Erin,2012-11-13,N/A,f,Leschi,1
4154214,Sedora,2012-11-14,N/A,f,Columbia City,1
1872473,Trong And Annie,2012-03-06,N/A,t,Pioneer Square,1
4181120,Candace,2012-11-18,100%,t,North Beacon Hill,1
4133943,Jill,2012-11-12,100%,t,Mount Baker,1
4411144,Emma,2012-12-15,100%,t,Belltown,2
4421734,Tara,2012-12-16,100%,t,Ravenna,1
287172,Laura,2010-11-14,100%,f,Atlantic,2
3264544,Fabio,2012-08-15,100%,t,Highland Park,1
4678869,Errin,2013-01-12,100%,t,Ballard,1
1881431,Frank M,2012-03-08,N/A,t,Lower Queen Anne,1
4962900,Stay Alfred,2013-02-04,39%,f,Central Business District,2014
4705328,Lisa,2013-01-14,100%,t,Greenwood,1
365687,Erik,2011-01-28,80%,t,Capitol Hill,1
357277,Matthew,2011-01-22,100%,f,Green Lake,1
5325813,Greg,2013-03-04,100%,f,Minor,4
5282519,Elizabeth,2013-03-01,100%,t,University District,1
5468524,Tom,2013-03-14,N/A,t,Columbia City,1
5486919,Nicole,2013-03-16,100%,t,North Admiral,1
5567436,Larry & Suzi,2013-03-21,0%,f,Montlake,1
5387574,Sara,2013-03-09,N/A,f,Haller Lake,1
5635244,Shannon,2013-03-26,100%,t,Ballard,2
5724883,Lillian,2013-04-01,N/A,f,Capitol Hill,1
5736221,Lene & Johnny,2013-04-02,100%,t,Madison Park,1
5774906,Carter,2013-04-04,100%,t,Fauntleroy,1
1729224,Marlow,2012-02-10,100%,t,Capitol Hill,3
867039,Molly,2011-07-25,100%,f,Minor,1
2754788,Amaris,2012-06-26,100%,t,Fremont,3
6031552,Jeanie,2013-04-21,100%,t,Mount Baker,1
5325329,Blair,2013-03-04,86%,f,Queen Anne,13
5856339,Anne And Peter,2013-04-10,N/A,t,Queen Anne,1
6153856,Sean,2013-04-29,100%,t,Westlake,1
928640,Carla,2011-08-05,N/A,f,Columbia City,0
225830,Lee & Steve,2010-09-06,100%,t,Victory Heights,2
6278931,Reya & Maketa,2013-05-07,N/A,f,North Delridge,1
6305984,Sarah,2013-05-09,100%,f,Roosevelt,1
4485958,Phil And Andrea,2012-12-25,100%,t,Madrona,2
6432543,Jenny,2013-05-16,N/A,f,Ballard,1
6458694,Mary,2013-05-18,100%,t,Wallingford,1
6506114,Andy,2013-05-21,N/A,t,Mathews Beach,2
6428916,Javier & Yeon,2013-05-16,N/A,f,Ballard,1
6584748,Sean And Karla,2013-05-26,N/A,t,Gatewood,2
5008607,Timothy,2013-02-07,N/A,f,Mount Baker,1
6654033,April-Mike-Maggie,2013-05-30,86%,f,Haller Lake,1
6657721,Alex,2013-05-30,N/A,f,Capitol Hill,2
6530057,Chelsea,2013-05-22,75%,t,North Admiral,1
2931003,Durwood,2012-07-14,N/A,t,Wallingford,1
6846442,Laurie,2013-06-10,N/A,t,Phinney Ridge,1
3009864,Jessica,2012-07-21,100%,f,Magnolia,1
6931145,Karen,2013-06-15,N/A,f,Minor,1
6963318,Grace,2013-06-17,N/A,f,Fremont,1
946910,Nathan,2011-08-09,50%,f,Wallingford,1
6569937,Glenn,2013-05-25,N/A,f,Stevens,1
7119234,Gea,2013-06-25,90%,f,Fremont,1
1445691,Kyle,2011-11-27,100%,t,Capitol Hill,2
6592975,Huong And Bill,2013-05-27,100%,t,Atlantic,1
7354306,Andrew,2013-07-08,100%,f,Capitol Hill,9
7435040,Chengying,2013-07-12,100%,f,University District,7
6136210,Nicole,2013-04-28,N/A,f,Ballard,1
7675473,Marne,2013-07-23,100%,f,Wallingford,3
7730805,Stephanie,2013-07-26,100%,f,Madrona,2
7782878,Ron,2013-07-28,0%,f,,1
7804761,Yvonne,2013-07-29,N/A,t,Columbia City,1
453540,Sid,2011-03-20,73%,t,Belltown,6
7940700,Betty,2013-08-04,100%,t,Green Lake,2
1212520,Jeremy And Rachael,2011-09-26,100%,t,Ballard,4
273088,Gerry,2010-10-28,N/A,t,Minor,2
1243056,Andy,2011-10-03,100%,f,Capitol Hill,58
7606108,Lana,2013-07-20,100%,f,Capitol Hill,2
5312600,Rainer,2013-03-04,100%,t,Madrona,2
1921132,Matthew,2012-03-14,100%,t,Wallingford,1
8284327,Anna,2013-08-20,100%,f,North Beacon Hill,5
8315334,Robert,2013-08-22,89%,t,Capitol Hill,10
8403307,Mario,2013-08-26,100%,t,Ballard,2
