NeighborhoodId,MCPP,Beat
1,MAGNOLIA,Q1
2,ROOSEVELT/RAVENNA,J3
3,ROOSEVELT/RAVENNA,U3
4,NORTH BEACON HILL,R1
5,BALLARD SOUTH,B2
6,DOWNTOWN COMMERCIAL,M1
7,NORTH ADMIRAL,W1
8,PHINNEY RIDGE,J3
9,ROXHILL/WESTWOOD/ARBOR HEIGHTS,F2
10,SANDPOINT,U1
11,NORTHGATE,L2
12,CAPITOL HILL,E2
13,UNIVERSITY,U2
14,GEORGETOWN,O2
15,CAPITOL HILL,E1
16,FIRST HILL,E2
17,GEORGETOWN,O3
18,QUEEN ANNE,Q3
19,SODO,O2
20,NORTHGATE,N3
21,DOWNTOWN COMMERCIAL,K2
22,QUEEN ANNE,Q2
23,CENTRAL AREA/SQUIRE PARK,C3
24,NORTHGATE,N2
25,MID BEACON HILL,R1
26,CENTRAL AREA/SQUIRE PARK,G2
27,ALASKA JUNCTION,W2
28,DOWNTOWN COMMERCIAL,K1
29,FREMONT,B3
30,DOWNTOWN COMMERCIAL,M3
31,ROXHILL/WESTWOOD/ARBOR HEIGHTS,W3
32,SLU/CASCADE,D2
33,CHINATOWN/INTERNATIONAL DISTRICT,K3
34,SANDPOINT,U3
35,HILLMAN CITY,R3
36,FIRST HILL,G1
37,HIGH POINT,W2
38,MOUNT BAKER,R2
39,FIRST HILL,E3
40,HIGHLAND PARK,F3
41,HIGH POINT,W3
42,BITTERLAKE,N1
43,PIONEER SQUARE,K2
44,BELLTOWN,D1
45,SOUTH BEACON HILL,S1
46,ROOSEVELT/RAVENNA,U1
47,RAINIER VIEW,S3
48,QUEEN ANNE,D2
49,HIGH POINT,F1
50,CAPITOL HILL,E3
51,SLU/CASCADE,D3
52,FREMONT,B2
53,JUDKINS PARK/NORTH BEACON HILL,G3
54,EASTLAKE - WEST,D3
55,BALLARD SOUTH,B1
56,MADRONA/LESCHI,G3
57,SLU/CASCADE,Q3
58,DOWNTOWN COMMERCIAL,M2
59,SLU/CASCADE,D1
60,MADISON PARK,C2
61,NORTH DELRIDGE,F1
62,CLAREMONT/RAINIER VISTA,R2
63,MONTLAKE/PORTAGE BAY,C2
64,NORTHGATE,L1
