OffenseCode,Offense,OffenseParentGroup
35A,Drug/Narcotic Violations,DRUG/NARCOTIC OFFENSES
23G,Theft of Motor Vehicle Parts or Accessories,LARCENY-THEFT
120,Robbery,ROBBERY
290,Destruction/Damage/Vandalism of Property,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE
23C,Shoplifting,LARCENY-THEFT
23F,Theft From Motor Vehicle,LARCENY-THEFT
26E,Wire Fraud,FRAUD OFFENSES
250,Counterfeiting/Forgery,COUNTERFEITING/FORGERY
23H,All Other Larceny,LARCENY-THEFT
370,Pornography/Obscene Material,PORNOGRAPHY/OBSCENE MATERIAL
210,Extortion/Blackmail,EXTORTION/BLACKMAIL
240,Motor Vehicle Theft,MOTOR VEHICLE THEFT
23D,Theft From Building,LARCENY-THEFT
280,Stolen Property Offenses,STOLEN PROPERTY OFFENSES
26A,False Pretenses/Swindle/Confidence Game,FRAUD OFFENSES
26B,Credit Card/Automated Teller Machine Fraud,FRAUD OFFENSES
270,Embezzlement,EMBEZZLEMENT
26F,Identity Theft,FRAUD OFFENSES
26C,Impersonation,FRAUD OFFENSES
520,Weapon Law Violations,WEAPON LAW VIOLATIONS
26G,Hacking/Computer Invasion,FRAUD OFFENSES
35B,Drug Equipment Violations,DRUG/NARCOTIC OFFENSES
200,Arson,ARSON
90G,Liquor Law Violations,LIQUOR LAW VIOLATIONS
90A,Bad Checks,BAD CHECKS
23A,Pocket-picking,LARCENY-THEFT
40C,Purchasing Prostitution,PROSTITUTION OFFENSES
23B,Purse-snatching,LARCENY-THEFT
23E,Theft From Coin-Operated Machine or Device,LARCENY-THEFT
90B,Curfew/Loitering/Vagrancy Violations,CURFEW/LOITERING/VAGRANCY VIOLATIONS
720,Animal Cruelty,ANIMAL CRUELTY
40A,Prostitution,PROSTITUTION OFFENSES
26D,Welfare Fraud,FRAUD OFFENSES
40B,Assisting or Promoting Prostitution,PROSTITUTION OFFENSES
90E,Drunkenness,DRUNKENNESS
90J,Trespass of Real Property,TRESPASS OF REAL PROPERTY
13B,Simple Assault,ASSAULT OFFENSES
13A,Aggravated Assault,ASSAULT OFFENSES
13C,Intimidation,ASSAULT OFFENSES
220,Burglary/Breaking & Entering,BURGLARY/BREAKING&ENTERING
510,Bribery,BRIBERY
